## Cosmology:      h0  = 0.678 ± 0.009,  Lambda_M = 0.308 ± 0.012.
#######################################################################################################################################
###     IMPORTANT: the fluxes of CO10 is corrected with a factor of 1.3 ± 0.4 for differential lensing effect before modelling.     ###
#######################################################################################################################################
# --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
# SOURCE/LINES(Jy_km/s)   z     D_L   T_dust  FHWM   10    err     21    err     32    err     43    err     54    err     65    err     76    err     87    err     98    err     109   err     1110  err     CI10  err     CI21  err
# --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  G09v1.97             3.6345  32751    44    348.3  NaN   NaN     NaN   NaN     5.699 2.248   7.800 1.500   9.734 1.188   9.979 1.672   7.962 0.915   NaN   NaN     NaN   NaN     NaN   NaN     NaN   NaN     NaN   NaN     3.557 0.936
  G09v1.40             2.0924  16835    36    262.7  NaN   NaN     5.337 1.393   NaN   NaN     8.817 1.210   NaN   NaN     9.150 0.995   9.307 1.733   NaN   NaN     NaN   NaN     NaN   NaN     NaN   NaN     NaN   NaN     5.198 1.733
  SDP17b               2.3053  18942    38    286.5  1.300 0.434   NaN   NaN     6.724 1.053   9.038 1.203   NaN   NaN     17.0  6.8     11.0  7.0     16.0  6.4     NaN   NaN     NaN   NaN     NaN   NaN     NaN   NaN     NaN   NaN  
  SDP81                3.0413  26469    34    559.5  1.456 0.463   NaN   NaN     7.008 1.193   NaN   NaN    10.039 4.170   NaN   NaN     NaN   NaN     9.300 0.400   NaN   NaN     3.200 0.200   NaN   NaN     NaN   NaN     NaN   NaN  
  G12v2.43             3.1271  27367    39    236.8  0.455 0.174   NaN   NaN     4.375 0.533   5.614 1.200   7.106 0.900   8.696 1.064   NaN   NaN     6.747 0.916   NaN   NaN     NaN   NaN     NaN   NaN     NaN   NaN     NaN   NaN  
  G12v2.30             3.2596  28761    41    713.2  1.820 0.629   NaN   NaN     7.800 1.700  16.363 2.666  22.581 2.012  19.772 1.054   NaN   NaN    20.709 1.830   NaN   NaN     NaN   NaN    12.123 2.459   NaN   NaN     NaN   NaN  
  NCv1.143             3.5650  32007    40    264.9  NaN   NaN     NaN   NaN     5.529 0.640   7.200 1.200  10.647 0.921   9.592 1.198  11.512 0.922   NaN   NaN     NaN   NaN     5.400 1.600   NaN   NaN     NaN   NaN     4.357 0.922
# NAv1.195             2.9510  25528    36    266.3  NaN   NaN     NaN   NaN     NaN   NaN     NaN   NaN     9.890 0.618   NaN   NaN     NaN   NaN     NaN   NaN     NaN   NaN     NaN   NaN     NaN   NaN     NaN   NaN     NaN   NaN  
  NAv1.177             2.7778  23736    32    252.1  NaN   NaN     NaN   NaN     7.190 0.622   NaN   NaN    11.767 0.792   NaN   NaN     4.605 0.840   4.069 0.465   NaN   NaN     NaN   NaN     NaN   NaN     NaN   NaN     2.872 0.820
  NBv1.78              3.1080  27167    43    597.4  NaN   NaN     NaN   NaN     3.300 0.500   NaN   NaN    10.007 1.251   9.273 1.698   NaN   NaN     NaN   NaN     NaN   NaN     NaN   NaN     NaN   NaN     NaN   NaN     NaN   NaN  
  NAv1.144             2.2023  17918    39    207.7  1.209 0.403   NaN   NaN     4.838 0.618   8.139 0.649   NaN   NaN     NaN   NaN    14.642 1.624   10.976 1.766   NaN   NaN     NaN   NaN     NaN   NaN     NaN   NaN     4.839 1.623
  NAv1.56              2.3001  18890    38    650    3.562 1.208   NaN   NaN     NaN   NaN    15.920 0.600  14.075 6.004   NaN   NaN     NaN   NaN     NaN   NaN     NaN   NaN     NaN   NaN     NaN   NaN     NaN   NaN     NaN   NaN  
  G15v2.235            2.4789  20686    32    480.0  1.911 0.628   NaN   NaN     8.072 0.801  12.965 1.935  11.348 2.422   NaN   NaN     3.291 0.646   NaN   NaN     NaN   NaN     NaN   NaN     NaN   NaN     NaN   NaN     3.912 0.810
  G12v2.890            2.5783  21694    30    343.6  0.858 0.362   NaN   NaN     2.649 0.613   NaN   NaN     NaN   NaN     NaN   NaN     NaN   NaN     NaN   NaN     5.529 1.830   NaN   NaN     NaN   NaN     NaN   NaN     NaN   NaN  
  G12v2.257            2.1914  17810    32    395.3  0.962 0.335   NaN   NaN     4.039 0.901  10.416 1.472   NaN   NaN     NaN   NaN     4.263 1.591   NaN   NaN     NaN   NaN     NaN   NaN     NaN   NaN     NaN   NaN     3.868 1.389
  G15v2.779            4.243   39349    41    830.0  NaN   NaN     NaN   NaN     NaN   NaN     7.500 0.900  13.000 1.600   NaN   NaN     6.500 1.400   NaN   NaN     NaN   NaN     NaN   NaN     NaN   NaN     3.600 1.600   3.400 1.100
# --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
